Well,BUL2_g_exp,FAS1_g_exp,MKT1_g_exp,NCS2_g_exp,PMA1_g_exp,RHO5_g_exp,SCH9_g_exp,WHI2_g_exp,AKL1_g_exp,RPI1_g_exp
1A-A3,0,0,0,0,0,0,0,0,0,0
1A-A4,0,0,0,0,0,0,0,1,0,0
1A-A5,0,0,0,0,0,0,1,0,0,0
1A-A6,0,0,0,0,0,0,1,1,0,0
1A-A7,0,0,0,0,0,1,0,0,0,0
1A-A8,0,0,0,0,0,1,2,1,0,0
1A-A9,0,0,0,0,0,1,1,0,0,0
1A-A10,0,0,0,0,0,1,1,1,0,0
1A-B3,0,0,1,0,0,0,0,0,0,0
1A-B4,0,0,1,0,0,0,0,1,0,0
1A-B5,0,0,1,0,0,0,1,0,0,0
1A-B6,0,0,1,0,0,0,1,1,0,0
1A-B7,0,0,1,0,0,1,0,0,0,0
1A-B8,0,0,1,2,0,1,0,1,0,0
1A-B9,0,0,1,0,0,1,1,0,0,0
1A-B10,0,0,1,0,0,1,1,1,0,0
1A-C3,1,0,0,0,0,0,0,0,0,0
1A-C4,1,0,0,0,0,0,0,1,0,0
1A-C5,1,0,0,0,0,0,1,0,0,0
1A-C6,1,0,0,0,0,0,1,1,0,0
1A-C7,1,0,0,0,0,1,0,0,0,0
1A-C8,1,0,0,2,0,1,0,1,0,0
1A-C9,1,0,0,0,0,1,1,0,0,0
1A-C10,1,0,0,0,0,1,1,1,0,0
1A-D3,1,0,1,0,0,0,0,0,0,0
1A-D4,1,0,1,0,0,0,0,1,0,0
1A-D5,1,0,1,0,0,0,1,0,0,0
1A-D6,1,0,1,0,0,0,1,1,0,0
1A-D7,1,0,1,0,0,1,0,0,0,0
1A-D8,1,0,1,2,0,1,0,1,0,0
1A-D9,1,0,1,0,0,1,1,0,0,0
1A-D10,1,0,1,0,0,1,1,1,0,0
1A-E3,0,1,0,0,0,0,0,0,0,0
1A-E4,0,1,0,0,0,0,0,1,0,0
1A-E5,0,1,0,0,0,0,1,0,0,0
1A-E6,0,1,0,0,0,0,1,1,0,0
1A-E7,0,1,0,0,0,1,0,0,0,0
1A-E8,0,1,0,0,0,1,0,1,0,0
1A-E9,0,1,0,0,0,1,1,0,0,0
1A-E10,0,1,0,0,0,1,1,1,0,0
1A-F3,0,1,1,0,0,0,0,0,0,0
1A-F4,0,1,1,0,0,0,0,1,0,0
1A-F5,0,1,1,0,0,0,1,0,0,0
1A-F6,0,1,1,0,0,0,1,1,0,0
1A-F7,0,1,1,0,0,1,0,0,0,0
1A-F8,0,1,1,0,0,1,0,1,0,0
1A-F9,0,1,1,0,0,1,1,0,0,0
1A-F10,0,1,1,0,0,1,1,1,0,0
1A-G3,1,1,0,0,0,0,0,0,0,0
1A-G4,1,1,0,0,0,0,0,1,0,0
1A-G5,1,1,0,0,0,0,1,0,0,0
1A-G6,1,1,0,0,0,0,1,1,0,0
1A-G7,1,1,0,0,0,1,0,0,0,0
1A-G8,1,1,0,0,0,1,0,1,0,0
1A-G9,1,1,0,0,0,1,1,0,0,0
1A-G10,1,1,0,0,0,1,1,1,0,0
1A-H3,1,1,1,0,0,0,0,0,0,0
1A-H4,1,1,1,0,0,0,0,1,0,0
1A-H5,1,1,1,0,0,0,1,0,0,0
1A-H6,1,1,1,0,0,0,1,1,0,0
1A-H7,1,1,1,0,0,1,0,0,0,0
1A-H8,1,1,1,0,0,1,0,1,0,0
1A-H9,1,2,1,2,2,2,1,0,0,0
1A-H10,1,1,1,0,0,1,1,1,0,0
1B-A3,0,0,0,0,0,0,0,0,1,0
1B-A4,0,0,0,0,0,0,0,1,1,0
1B-A5,0,0,0,0,0,0,1,0,1,0
1B-A6,0,0,0,0,0,0,1,1,1,0
1B-A7,0,0,0,0,0,1,0,0,1,0
1B-A8,0,0,0,0,0,1,2,1,1,0
1B-A9,0,0,0,0,0,1,1,0,1,0
1B-A10,0,0,0,0,0,1,1,1,1,0
1B-B3,0,0,1,0,0,0,0,0,1,0
1B-B4,0,0,1,0,0,0,0,1,1,0
1B-B5,0,0,1,0,0,0,1,0,1,0
1B-B6,0,0,1,0,0,0,1,1,1,0
1B-B7,0,0,1,0,0,1,0,0,1,0
1B-B8,0,0,1,2,0,1,0,1,1,0
1B-B9,0,0,1,0,0,1,1,0,1,0
1B-B10,0,0,1,0,0,1,1,1,1,0
1B-C3,1,0,0,0,0,0,0,0,1,0
1B-C4,1,0,0,0,0,0,0,1,1,0
1B-C5,1,0,0,0,0,0,1,0,1,0
1B-C6,1,0,0,0,0,0,1,1,1,0
1B-C7,1,0,0,0,0,1,0,0,1,0
1B-C8,1,0,0,2,0,1,0,1,1,0
1B-C9,1,0,0,0,0,1,1,0,1,0
1B-C10,1,0,0,0,0,1,1,1,1,0
1B-D3,1,0,1,0,0,0,0,0,1,0
1B-D4,1,0,1,0,0,0,0,1,1,0
1B-D5,1,0,1,0,0,0,1,0,1,0
1B-D6,1,0,1,0,0,0,1,1,1,0
1B-D7,1,0,1,0,0,1,0,0,1,0
1B-D8,1,0,1,2,0,1,0,1,1,0
1B-D9,1,0,1,0,0,1,1,0,1,0
1B-D10,1,0,1,0,0,1,1,1,1,0
1B-E3,0,1,0,0,0,0,0,0,1,0
1B-E4,0,1,0,0,0,0,0,1,1,0
1B-E5,0,1,0,0,0,0,1,0,1,0
1B-E6,0,1,0,0,0,0,1,1,1,0
1B-E7,0,1,0,0,0,1,0,0,1,0
1B-E8,0,1,0,0,0,1,0,1,1,0
1B-E9,0,1,0,0,0,1,1,0,1,0
1B-E10,0,1,0,0,0,1,1,1,1,0
1B-F3,0,1,1,0,0,0,0,0,1,0
1B-F4,0,1,1,0,0,0,0,1,1,0
1B-F5,0,1,1,0,0,0,1,0,1,0
1B-F6,0,1,1,0,0,0,1,1,1,0
1B-F7,0,1,1,0,0,1,0,0,1,0
1B-F8,0,1,1,0,0,1,0,1,1,0
1B-F9,0,1,1,0,0,1,1,0,1,0
1B-F10,0,1,1,0,0,1,1,1,1,0
1B-G3,1,1,0,0,0,0,0,0,1,0
1B-G4,1,1,0,0,0,0,0,1,1,0
1B-G5,1,1,0,0,0,0,1,0,1,0
1B-G6,1,1,0,0,0,0,1,1,1,0
1B-G7,1,1,0,0,0,1,0,0,1,0
1B-G8,1,1,0,0,0,1,0,1,1,0
1B-G9,1,1,0,0,0,1,1,0,1,0
1B-G10,1,1,0,0,0,1,1,1,1,0
1B-H3,1,1,1,0,0,0,0,0,1,0
1B-H4,1,1,1,0,0,0,0,1,1,0
1B-H5,1,1,1,0,0,0,1,0,1,0
1B-H6,1,1,1,0,0,0,1,1,1,0
1B-H7,1,1,1,0,0,1,0,0,1,0
1B-H8,1,1,1,0,0,1,0,1,1,0
1B-H9,1,2,1,2,2,2,1,0,1,0
1B-H10,1,1,1,0,0,1,1,1,1,0
1C-A3,0,0,0,0,0,0,0,0,0,1
1C-A4,0,0,0,0,0,0,0,1,0,1
1C-A5,0,0,0,0,0,0,1,0,0,1
1C-A6,0,0,0,0,0,0,1,1,0,1
1C-A7,0,0,0,0,0,1,0,0,0,1
1C-A8,0,0,0,0,0,1,2,1,0,1
1C-A9,0,0,0,0,0,1,1,0,0,1
1C-A10,0,0,0,0,0,1,1,1,0,1
1C-B3,0,0,1,0,0,0,0,0,0,1
1C-B4,0,0,1,0,0,0,0,1,0,1
1C-B5,0,0,1,0,0,0,1,0,0,1
1C-B6,0,0,1,0,0,0,1,1,0,1
1C-B7,0,0,1,0,0,1,0,0,0,1
1C-B8,0,0,1,2,0,1,0,1,0,1
1C-B9,0,0,1,0,0,1,1,0,0,1
1C-B10,0,0,1,0,0,1,1,1,0,1
1C-C3,1,0,0,0,0,0,0,0,0,1
1C-C4,1,0,0,0,0,0,0,1,0,1
1C-C5,1,0,0,0,0,0,1,0,0,1
1C-C6,1,0,0,0,0,0,1,1,0,1
1C-C7,1,0,0,0,0,1,0,0,0,1
1C-C8,1,0,0,2,0,1,0,1,0,1
1C-C9,1,0,0,0,0,1,1,0,0,1
1C-C10,1,0,0,0,0,1,1,1,0,1
1C-D3,1,0,1,0,0,0,0,0,0,1
1C-D4,1,0,1,0,0,0,0,1,0,1
1C-D5,1,0,1,0,0,0,1,0,0,1
1C-D6,1,0,1,0,0,0,1,1,0,1
1C-D7,1,0,1,0,0,1,0,0,0,1
1C-D8,1,0,1,2,0,1,0,1,0,1
1C-D9,1,0,1,0,0,1,1,0,0,1
1C-D10,1,0,1,0,0,1,1,1,0,1
1C-E3,0,1,0,0,0,0,0,0,0,1
1C-E4,0,1,0,0,0,0,0,1,0,1
1C-E5,0,1,0,0,0,0,1,0,0,1
1C-E6,0,1,0,0,0,0,1,1,0,1
1C-E7,0,1,0,0,0,1,0,0,0,1
1C-E8,0,1,0,0,0,1,0,1,0,1
1C-E9,0,1,0,0,0,1,1,0,0,1
1C-E10,0,1,0,0,0,1,1,1,0,1
1C-F3,0,1,1,0,0,0,0,0,0,1
1C-F4,0,1,1,0,0,0,0,1,0,1
1C-F5,0,1,1,0,0,0,1,0,0,1
1C-F6,0,1,1,0,0,0,1,1,0,1
1C-F7,0,1,1,0,0,1,0,0,0,1
1C-F8,0,1,1,0,0,1,0,1,0,1
1C-F9,0,1,1,0,0,1,1,0,0,1
1C-F10,0,1,1,0,0,1,1,1,0,1
1C-G3,1,1,0,0,0,0,0,0,0,1
1C-G4,1,1,0,0,0,0,0,1,0,1
1C-G5,1,1,0,0,0,0,1,0,0,1
1C-G6,1,1,0,0,0,0,1,1,0,1
1C-G7,1,1,0,0,0,1,0,0,0,1
1C-G8,1,1,0,0,0,1,0,1,0,1
1C-G9,1,1,0,0,0,1,1,0,0,1
1C-G10,1,1,0,0,0,1,1,1,0,1
1C-H3,1,1,1,0,0,0,0,0,0,1
1C-H4,1,1,1,0,0,0,0,1,0,1
1C-H5,1,1,1,0,0,0,1,0,0,1
1C-H6,1,1,1,0,0,0,1,1,0,1
1C-H7,1,1,1,0,0,1,0,0,0,1
1C-H8,1,1,1,0,0,1,0,1,0,1
1C-H9,1,2,1,2,2,2,1,0,0,1
1C-H10,1,1,1,0,0,1,1,1,0,1
1D-A3,0,0,0,0,0,0,0,0,1,1
1D-A4,0,0,0,0,0,0,0,1,1,1
1D-A5,0,0,0,0,0,0,1,0,1,1
1D-A6,0,0,0,0,0,0,1,1,1,1
1D-A7,0,0,0,0,0,1,0,0,1,1
1D-A8,0,0,0,0,0,1,2,1,1,1
1D-A9,0,0,0,0,0,1,1,0,1,1
1D-A10,0,0,0,0,0,1,1,1,1,1
1D-B3,0,0,1,0,0,0,0,0,1,1
1D-B4,0,0,1,0,0,0,0,1,1,1
1D-B5,0,0,1,0,0,0,1,0,1,1
1D-B6,0,0,1,0,0,0,1,1,1,1
1D-B7,0,0,1,0,0,1,0,0,1,1
1D-B8,0,0,1,2,0,1,0,1,1,1
1D-B9,0,0,1,0,0,1,1,0,1,1
1D-B10,0,0,1,0,0,1,1,1,1,1
1D-C3,1,0,0,0,0,0,0,0,1,1
1D-C4,1,0,0,0,0,0,0,1,1,1
1D-C5,1,0,0,0,0,0,1,0,1,1
1D-C6,1,0,0,0,0,0,1,1,1,1
1D-C7,1,0,0,0,0,1,0,0,1,1
1D-C8,1,0,0,2,0,1,0,1,1,1
1D-C9,1,0,0,0,0,1,1,0,1,1
1D-C10,1,0,0,0,0,1,1,1,1,1
1D-D3,1,0,1,0,0,0,0,0,1,1
1D-D4,1,0,1,0,0,0,0,1,1,1
1D-D5,1,0,1,0,0,0,1,0,1,1
1D-D6,1,0,1,0,0,0,1,1,1,1
1D-D7,1,0,1,0,0,1,0,0,1,1
1D-D8,1,0,1,2,0,1,0,1,1,1
1D-D9,1,0,1,0,0,1,1,0,1,1
1D-D10,1,0,1,0,0,1,1,1,1,1
1D-E3,0,1,0,0,0,0,0,0,1,1
1D-E4,0,1,0,0,0,0,0,1,1,1
1D-E5,0,1,0,0,0,0,1,0,1,1
1D-E6,0,1,0,0,0,0,1,1,1,1
1D-E7,0,1,0,0,0,1,0,0,1,1
1D-E8,0,1,0,0,0,1,0,1,1,1
1D-E9,0,1,0,0,0,1,1,0,1,1
1D-E10,0,1,0,0,0,1,1,1,1,1
1D-F3,0,1,1,0,0,0,0,0,1,1
1D-F4,0,1,1,0,0,0,0,1,1,1
1D-F5,0,1,1,0,0,0,1,0,1,1
1D-F6,0,1,1,0,0,0,1,1,1,1
1D-F7,0,1,1,0,0,1,0,0,1,1
1D-F8,0,1,1,0,0,1,0,1,1,1
1D-F9,0,1,1,0,0,1,1,0,1,1
1D-F10,0,1,1,0,0,1,1,1,1,1
1D-G3,1,1,0,0,0,0,0,0,1,1
1D-G4,1,1,0,0,0,0,0,1,1,1
1D-G5,1,1,0,0,0,0,1,0,1,1
1D-G6,1,1,0,0,0,0,1,1,1,1
1D-G7,1,1,0,0,0,1,0,0,1,1
1D-G8,1,1,0,0,0,1,0,1,1,1
1D-G9,1,1,0,0,0,1,1,0,1,1
1D-G10,1,1,0,0,0,1,1,1,1,1
1D-H3,1,1,1,0,0,0,0,0,1,1
1D-H4,1,1,1,0,0,0,0,1,1,1
1D-H5,1,1,1,0,0,0,1,0,1,1
1D-H6,1,1,1,0,0,0,1,1,1,1
1D-H7,1,1,1,0,0,1,0,0,1,1
1D-H8,1,1,1,0,0,1,0,1,1,1
1D-H9,1,2,1,2,2,2,1,0,1,1
1D-H10,1,1,1,0,0,1,1,1,1,1
2A-A3,0,0,0,1,0,0,0,0,0,0
2A-A4,0,0,0,1,0,0,0,1,0,0
2A-A5,0,0,0,1,0,0,1,0,0,0
2A-A6,0,0,0,1,0,0,1,1,0,0
2A-A7,0,0,0,1,0,1,0,0,0,0
2A-A8,0,0,0,1,0,1,0,1,0,0
2A-A9,0,0,0,1,0,1,1,0,0,0
2A-A10,0,0,0,1,0,1,1,1,0,0
2A-B3,0,0,1,1,0,0,0,0,0,0
2A-B4,0,0,1,1,0,0,0,1,0,0
2A-B5,0,0,1,1,0,0,1,0,0,0
2A-B6,0,0,1,1,0,0,1,1,0,0
2A-B7,0,0,1,1,0,1,0,0,0,0
2A-B8,0,0,1,1,0,1,0,1,0,0
2A-B9,0,0,1,1,0,1,1,0,0,0
2A-B10,0,0,1,1,0,1,1,1,0,0
2A-C3,1,0,0,1,0,0,0,0,0,0
2A-C4,1,0,0,1,0,0,0,1,0,0
2A-C5,1,0,0,1,0,0,1,0,0,0
2A-C6,1,0,0,1,0,0,1,1,0,0
2A-C7,1,0,0,1,0,1,0,0,0,0
2A-C8,1,0,0,1,0,1,0,1,0,0
2A-C9,1,0,0,1,0,1,1,0,0,0
2A-C10,1,0,0,1,0,1,1,1,0,0
2A-D3,1,0,1,1,0,0,0,0,0,0
2A-D4,1,0,1,1,0,0,0,1,0,0
2A-D5,1,0,1,1,0,0,1,0,0,0
2A-D6,1,0,1,1,0,0,1,1,0,0
2A-D7,1,0,1,1,0,1,0,0,0,0
2A-D8,1,0,1,1,0,1,0,1,0,0
2A-D9,1,0,1,1,0,1,1,0,0,0
2A-D10,1,0,1,1,0,1,1,1,0,0
2A-E3,0,1,0,1,0,0,0,0,0,0
2A-E4,0,1,0,1,0,0,0,1,0,0
2A-E5,0,1,0,1,0,0,1,0,0,0
2A-E6,0,1,0,1,0,0,1,1,0,0
2A-E7,0,1,0,1,0,1,0,0,0,0
2A-E8,0,1,0,1,0,1,0,1,0,0
2A-E9,0,1,0,1,0,1,1,0,0,0
2A-E10,0,1,0,1,0,1,1,1,0,0
2A-F3,0,1,1,1,0,0,0,0,0,0
2A-F4,0,1,1,1,0,0,0,1,0,0
2A-F5,0,1,1,1,0,0,1,0,0,0
2A-F6,0,1,1,1,0,0,1,1,0,0
2A-F7,0,1,1,1,0,1,0,0,0,0
2A-F8,0,1,1,1,0,1,0,1,0,0
2A-F9,0,1,1,1,0,1,1,0,0,0
2A-F10,0,1,1,1,0,1,1,1,0,0
2A-G3,1,1,0,1,0,0,0,0,0,0
2A-G4,1,1,0,1,0,0,0,1,0,0
2A-G5,1,1,0,1,0,0,1,0,0,0
2A-G6,1,1,0,1,0,0,1,1,0,0
2A-G7,1,1,0,1,0,1,0,0,0,0
2A-G8,1,1,0,1,0,1,0,1,0,0
2A-G9,1,1,0,1,0,1,1,0,0,0
2A-G10,1,1,0,1,0,1,1,1,0,0
2A-H3,1,1,1,1,0,0,0,0,0,0
2A-H4,1,1,1,1,0,0,0,1,0,0
2A-H5,1,1,1,1,0,0,1,0,0,0
2A-H6,1,1,1,1,0,0,1,1,0,0
2A-H7,1,1,1,1,0,1,0,0,0,0
2A-H8,1,1,1,1,0,1,0,1,0,0
2A-H9,1,1,1,1,0,1,1,0,0,0
2A-H10,1,1,1,1,0,1,1,1,0,0
2B-A3,0,0,0,1,0,0,0,0,1,0
2B-A4,0,0,0,1,0,0,0,1,1,0
2B-A5,0,0,0,1,0,0,1,0,1,0
2B-A6,0,0,0,1,0,0,1,1,1,0
2B-A7,0,0,0,1,0,1,0,0,1,0
2B-A8,0,0,0,1,0,1,0,1,1,0
2B-A9,0,0,0,1,0,1,1,0,1,0
2B-A10,0,0,0,1,0,1,1,1,1,0
2B-B3,0,0,1,1,0,0,0,0,1,0
2B-B4,0,0,1,1,0,0,0,1,1,0
2B-B5,0,0,1,1,0,0,1,0,1,0
2B-B6,0,0,1,1,0,0,1,1,1,0
2B-B7,0,0,1,1,0,1,0,0,1,0
2B-B8,0,0,1,1,0,1,0,1,1,0
2B-B9,0,0,1,1,0,1,1,0,1,0
2B-B10,0,0,1,1,0,1,1,1,1,0
2B-C3,1,0,0,1,0,0,0,0,1,0
2B-C4,1,0,0,1,0,0,0,1,1,0
2B-C5,1,0,0,1,0,0,1,0,1,0
2B-C6,1,0,0,1,0,0,1,1,1,0
2B-C7,1,0,0,1,0,1,0,0,1,0
2B-C8,1,0,0,1,0,1,0,1,1,0
2B-C9,1,0,0,1,0,1,1,0,1,0
2B-C10,1,0,0,1,0,1,1,1,1,0
2B-D3,1,0,1,1,0,0,0,0,1,0
2B-D4,1,0,1,1,0,0,0,1,1,0
2B-D5,1,0,1,1,0,0,1,0,1,0
2B-D6,1,0,1,1,0,0,1,1,1,0
2B-D7,1,0,1,1,0,1,0,0,1,0
2B-D8,1,0,1,1,0,1,0,1,1,0
2B-D9,1,0,1,1,0,1,1,0,1,0
2B-D10,1,0,1,1,0,1,1,1,1,0
2B-E3,0,1,0,1,0,0,0,0,1,0
2B-E4,0,1,0,1,0,0,0,1,1,0
2B-E5,0,1,0,1,0,0,1,0,1,0
2B-E6,0,1,0,1,0,0,1,1,1,0
2B-E7,0,1,0,1,0,1,0,0,1,0
2B-E8,0,1,0,1,0,1,0,1,1,0
2B-E9,0,1,0,1,0,1,1,0,1,0
2B-E10,0,1,0,1,0,1,1,1,1,0
2B-F3,0,1,1,1,0,0,0,0,1,0
2B-F4,0,1,1,1,0,0,0,1,1,0
2B-F5,0,1,1,1,0,0,1,0,1,0
2B-F6,0,1,1,1,0,0,1,1,1,0
2B-F7,0,1,1,1,0,1,0,0,1,0
2B-F8,0,1,1,1,0,1,0,1,1,0
2B-F9,0,1,1,1,0,1,1,0,1,0
2B-F10,0,1,1,1,0,1,1,1,1,0
2B-G3,1,1,0,1,0,0,0,0,1,0
2B-G4,1,1,0,1,0,0,0,1,1,0
2B-G5,1,1,0,1,0,0,1,0,1,0
2B-G6,1,1,0,1,0,0,1,1,1,0
2B-G7,1,1,0,1,0,1,0,0,1,0
2B-G8,1,1,0,1,0,1,0,1,1,0
2B-G9,1,1,0,1,0,1,1,0,1,0
2B-G10,1,1,0,1,0,1,1,1,1,0
2B-H3,1,1,1,1,0,0,0,0,1,0
2B-H4,1,1,1,1,0,0,0,1,1,0
2B-H5,1,1,1,1,0,0,1,0,1,0
2B-H6,1,1,1,1,0,0,1,1,1,0
2B-H7,1,1,1,1,0,1,0,0,1,0
2B-H8,1,1,1,1,0,1,0,1,1,0
2B-H9,1,1,1,1,0,1,1,0,1,0
2B-H10,1,1,1,1,0,1,1,1,1,0
2C-A3,0,0,0,1,0,0,0,0,0,1
2C-A4,0,0,0,1,0,0,0,1,0,1
2C-A5,0,0,0,1,0,0,1,0,0,1
2C-A6,0,0,0,1,0,0,1,1,0,1
2C-A7,0,0,0,1,0,1,0,0,0,1
2C-A8,0,0,0,1,0,1,0,1,0,1
2C-A9,0,0,0,1,0,1,1,0,0,1
2C-A10,0,0,0,1,0,1,1,1,0,1
2C-B3,0,0,1,1,0,0,0,0,0,1
2C-B4,0,0,1,1,0,0,0,1,0,1
2C-B5,0,0,1,1,0,0,1,0,0,1
2C-B6,0,0,1,1,0,0,1,1,0,1
2C-B7,0,0,1,1,0,1,0,0,0,1
2C-B8,0,0,1,1,0,1,0,1,0,1
2C-B9,0,0,1,1,0,1,1,0,0,1
2C-B10,0,0,1,1,0,1,1,1,0,1
2C-C3,1,0,0,1,0,0,0,0,0,1
2C-C4,1,0,0,1,0,0,0,1,0,1
2C-C5,1,0,0,1,0,0,1,0,0,1
2C-C6,1,0,0,1,0,0,1,1,0,1
2C-C7,1,0,0,1,0,1,0,0,0,1
2C-C8,1,0,0,1,0,1,0,1,0,1
